name,severity,cloudProvider,targetNativeTypes,matcherTypes
Cognito identity pool should not allow basic flow authentication,HIGH,AWS,cognito-identity#identitypool,"CLOUD, TERRAFORM"
Aurora Cluster copy tags to snapshots should be enabled,LOW,AWS,"rds/AmazonAuroraMySQL/cluster, rds/AmazonAuroraPostgreSQL/cluster","CLOUD, TERRAFORM"
OpenSearch (ElasticSearch) domain search slow logs should be enabled,LOW,AWS,elasticSearchService,"CLOUD, TERRAFORM"
Public Route 53 domain should not contain a private DNS record,MEDIUM,AWS,dnsRecord,"CLOUD, TERRAFORM"
RDS MySQL instance logs should be published to CloudWatch,LOW,AWS,"rds/MySQL/instance, rds/Cluster/MySQL/instance","CLOUD, TERRAFORM"
OpenSearch (ElasticSearch) domain should enforce the latest TLS security policy,MEDIUM,AWS,elasticSearchService,"CLOUD, TERRAFORM"
OpenSearch (ElasticSearch) domain index slow logs should be enabled,LOW,AWS,elasticSearchService,"CLOUD, TERRAFORM"
CloudSearch Domain should restrict access to AWS services,MEDIUM,AWS,cloudSearch#domain,"CLOUD, TERRAFORM"
Application Load Balancer should not support insecure negotiation policy,MEDIUM,AWS,loadBalancerv2/application,"CLOUD, TERRAFORM"
RDS instance certificate 'rds-ca-2019' expiring within 14 days,MEDIUM,AWS,"rds/MariaDB/instance, rds/Cluster/MySQL/instance, rds/AmazonNeptune/instance, rds/AmazonAuroraMySQL/instance, rds/MSSQLServer/instance, rds/AmazonDocDB/instance, rds/Cluster/PostgreSQL/instance, rds/PostgreSQL/instance, rds/MySQL/instance, rds/Oracle/instance, rds/AmazonAuroraPostgreSQL/instance",CLOUD
CloudTrail management events and global service logging should be enabled in all regions - Organization level,HIGH,AWS,cloudtrail,"CLOUD, TERRAFORM, CLOUD_FORMATION"
Application Load Balancer HTTPS listeners should use TLS version 1.2 or higher,MEDIUM,AWS,loadBalancerv2/application,CLOUD
OpenSearch (ElasticSearch) domain error logs should be enabled,LOW,AWS,elasticSearchService,"CLOUD, TERRAFORM"
OpenSearch (ElasticSearch) domain logs should be enabled,LOW,AWS,elasticSearchService,"CLOUD, CLOUD_FORMATION, TERRAFORM"
S3 Bucket policy should not allow CloudTrail cross-account action,MEDIUM,AWS,bucket,CLOUD
Amazon Connect customer profile should not use AWS Owned Keys,MEDIUM,AWS,connect#instance,CLOUD
Redshift Cluster should not be publicly accessible,HIGH,AWS,redshift,"CLOUD, TERRAFORM, CLOUD_FORMATION"
EFS access point should enforce user identity,MEDIUM,AWS,elasticFileSystem,"CLOUD, TERRAFORM"
AMI Block Public Access should be enabled in all regions,HIGH,AWS,region,CLOUD
Bedrock Guardrail with Contextual Grounding check and Relevance Check ,LOW,AWS,bedrock#guardrail,"CLOUD, TERRAFORM"
WAF Web ACL rules should have CloudWatch metrics enabled,LOW,AWS,WAF/WebACL,CLOUD
OpenSearch (ElasticSearch) domain should ensure IAM authentication,MEDIUM,AWS,elasticSearchService,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Amazon MQ broker should not be publicly accessible,MEDIUM,AWS,mq#broker,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Apache Airflow Environment logging should be enabled for all Airflow log types,LOW,AWS,mwaa#environment,CLOUD
OpenSearch (ElasticSearch) domain should not use a public endpoint,MEDIUM,AWS,elasticSearchService,CLOUD
Bedrock Agent should be associated with Bedrock Guardrails,MEDIUM,AWS,bedrock#agent,"CLOUD, TERRAFORM"
EBS Snapshot should not be public,HIGH,AWS,ec2#unencryptedsnapshot,CLOUD
RDS Aurora PostgreSQL Cluster should be encrypted in-transit,MEDIUM,AWS,rds/AmazonAuroraPostgreSQL/cluster,"CLOUD, TERRAFORM"
Glue DataBrew Job should have logging enabled,LOW,AWS,databrew#job,"CLOUD, TERRAFORM"
Redshift Cluster should be encrypted at rest,HIGH,AWS,redshift,"CLOUD, CLOUD_FORMATION, TERRAFORM"
IAM user should not have inline policies allowing decryption actions on all KMS keys,MEDIUM,AWS,user,CLOUD
Glue job logging should be enabled,MEDIUM,AWS,glue,CLOUD
Database instance encryption at rest should be enabled,HIGH,AWS,"rds/AmazonAuroraMySQL/instance, rds/AmazonAuroraPostgreSQL/instance, rds/AmazonDocDB/instance, rds/MSSQLServer/instance, rds/MySQL/instance, rds/Cluster/MySQL/instance, rds/AmazonNeptune/instance, rds/Oracle/instance, rds/PostgreSQL/instance, rds/Cluster/PostgreSQL/instance, rds/MariaDB/instance","CLOUD, TERRAFORM, CLOUD_FORMATION"
AWS Bedrock Guardrail protects PII data,MEDIUM,AWS,bedrock#guardrail,"CLOUD, TERRAFORM"
Bedrock Guardrail with Prompt Attack is enable in HIGH severity,HIGH,AWS,bedrock#guardrail,"CLOUD, TERRAFORM"
Secret configured with automatic rotation should be rotated within 90 days,MEDIUM,AWS,secret,CLOUD
SageMaker Endpoint production variants' initial instance count should be greater than 1,LOW,AWS,sagemaker#endpoint,"CLOUD, TERRAFORM"
OpenSearch (ElasticSearch) domain should have at least three data nodes,MEDIUM,AWS,elasticSearchService,CLOUD
Amazon MQ broker should not use single-instance deployment mode,INFORMATIONAL,AWS,mq#broker,"CLOUD, TERRAFORM"
IAM group should not have inline policies allowing decryption actions on all KMS keys,MEDIUM,AWS,group,CLOUD
OpenSearch (ElasticSearch) domain should have at least three dedicated primary nodes,MEDIUM,AWS,elasticSearchService,"CLOUD, TERRAFORM"
OpenSearch (ElasticSearch) service software should be up to date,LOW,AWS,elasticSearchService,CLOUD
Event Bus should not allow access to all principals,MEDIUM,AWS,events#eventbus,CLOUD
SQS Queue policy should not allow all actions and all principals,MEDIUM,AWS,sqs,"CLOUD, ANSIBLE, TERRAFORM"
OpenSearch (ElasticSearch) domain zone awareness should be enabled,MEDIUM,AWS,elasticSearchService,"CLOUD, TERRAFORM"
RDS PostgreSQL instance logs should be published to CloudWatch,LOW,AWS,"rds/PostgreSQL/instance, rds/Cluster/PostgreSQL/instance","CLOUD, TERRAFORM"
LightSail instance blueprint should not be outdated,MEDIUM,AWS,lightsail#Instance,CLOUD
RDS Aurora PostgreSQL instance logs should be published to CloudWatch,LOW,AWS,rds/AmazonAuroraPostgreSQL/instance,"CLOUD, TERRAFORM"
RDS MySQL Cluster version is on extended support,INFORMATIONAL,AWS,"rds/AmazonAuroraMySQL/cluster, rds/MySQL/cluster",CLOUD
RDS Cluster encryption at rest should be enabled,MEDIUM,AWS,"clusterpg, rds/MSSQLServer/cluster, rds/AmazonAuroraMySQL/cluster, rds/AmazonAuroraPostgreSQL/cluster, rds/MySQL/cluster","CLOUD, TERRAFORM, CLOUD_FORMATION"
ECS Cluster should be configured with a registered instance,INFORMATIONAL,AWS,ecs,CLOUD
OpenSearch (ElasticSearch) domain should use a dedicated master node,LOW,AWS,elasticSearchService,"CLOUD, TERRAFORM"
Resource policy should not allow all principals with a condition of ForAllValues and PrincipalArn,HIGH,AWS,resourcePolicy,"CLOUD, TERRAFORM"
REST API Gateway policy should not allow all actions to all principals,MEDIUM,AWS,apiGateway,"CLOUD, TERRAFORM"
OpenSearch (ElasticSearch) domain fine-grained access control should be enabled,MEDIUM,AWS,elasticSearchService,"CLOUD, TERRAFORM, CLOUD_FORMATION"
OpenSearch (ElasticSearch) domain should have the latest software update installed,MEDIUM,AWS,elasticSearchService,CLOUD
DataSync Task should have task reports enabled,LOW,AWS,datasync#task,CLOUD
AMI share settings should not allow public access,HIGH,AWS,ami,"CLOUD, TERRAFORM"
Public ECR Repository policy should not allow write actions for all principals,HIGH,AWS,resourcePolicy,CLOUD
EFS access point should enforce a root directory,MEDIUM,AWS,elasticFileSystem,"CLOUD, TERRAFORM"
ECS Task Definition should have secure networking modes and user definitions,HIGH,AWS,taskDefinition,CLOUD
OpenSearch Serverless Collection network security policy should restrict public connection,MEDIUM,AWS,aoss#collection,"CLOUD, TERRAFORM"
CloudSearch Domain policy should not be overly permissive,MEDIUM,AWS,cloudSearch#domain,"CLOUD, TERRAFORM"
Lambda CodeDeploy Deployment Group should not use the default deployment configuration,MEDIUM,AWS,codedeploy#deploymentgroup,CLOUD
OpenSearch Serverless Collection should use customer-managed key,MEDIUM,AWS,aoss#collection,"CLOUD, TERRAFORM"
LightSail Bucket versioning should be enabled,LOW,AWS,lightsail#Bucket,CLOUD
CloudFront distribution with a custom certificate should use TLS version 1.2 or higher,MEDIUM,AWS,cloudfront,"CLOUD, TERRAFORM"
OpenSearch (Elasticsearch) domain should not be publicly accessible,HIGH,AWS,elasticSearchService,"CLOUD, TERRAFORM"
OpenSearch Serverless Collection data access policy should have SAML authentication only,MEDIUM,AWS,aoss#collection,"CLOUD, TERRAFORM"
SES identity authorization policy should not be overly permissive,MEDIUM,AWS,"sesDomainIdentity, sesEmailAddressIdentity","CLOUD, TERRAFORM"
CloudSearch Domain should ensure IAM authentication,MEDIUM,AWS,cloudSearch#domain,"CLOUD, TERRAFORM"
Secret configured with automatic rotation should successfully rotate,MEDIUM,AWS,secret,CLOUD
Lightsail Container Deployment should not be publicly accessible,HIGH,AWS,lightsail#ContainerService,CLOUD
Network Load Balancer should use TLS version 1.3,MEDIUM,AWS,loadBalancerv2/network,CLOUD
EC2 Client VPN Endpoint client connection logging should be enabled,MEDIUM,AWS,ec2#clientvpnendpoint,CLOUD
EC2 instance with an upcoming instance stop scheduled event,INFORMATIONAL,AWS,virtualMachine,CLOUD
EFS policy should not be overly permissive,MEDIUM,AWS,elasticFileSystem,"CLOUD, TERRAFORM"
OpenSearch (ElasticSearch) domain policy should not be overly permissive,MEDIUM,AWS,elasticSearchService,"CLOUD, TERRAFORM"
Neptune DB Cluster Snapshot should be encrypted,MEDIUM,AWS,rds#clustersnapshot,CLOUD
S3 Bucket policy should not allow AWS Config cross-account action,MEDIUM,AWS,bucket,CLOUD
Glue DataBrew Job output files should have encryption enabled,MEDIUM,AWS,databrew#job,"CLOUD, TERRAFORM"
Bedrock Guardrail harmful categories shoud be set,INFORMATIONAL,AWS,bedrock#guardrail,"CLOUD, TERRAFORM"
VPC Endpoint state should be available,LOW,AWS,vpcEndpoint,CLOUD
ElastiCache (Memcached) cluster should have Multi-AZ deployment enabled,MEDIUM,AWS,elastiCache/Memcached/cluster,"CLOUD, CLOUD_FORMATION, TERRAFORM"
EC2 instance should not use the paravirtual virtualization type,LOW,AWS,virtualMachine,CLOUD
Route 53 domain names should be renewed before they are expired,MEDIUM,AWS,domain,CLOUD
REST API Gateway cached responses should be encrypted,MEDIUM,AWS,apiGateway,"CLOUD, TERRAFORM, CLOUD_FORMATION, CLOUD_FORMATION"
CodeBuild Bitbucket source repository URLs should not contain sensitive credentials,MEDIUM,AWS,codebuild#project,"CLOUD, TERRAFORM"
Neptune Cluster should be deployed in multi-AZ,MEDIUM,AWS,rds/AmazonNeptune/cluster,"CLOUD, TERRAFORM"
REST API Gateway custom domains should use TLS version 1.2 or higher,MEDIUM,AWS,apiGateway,"CLOUD, TERRAFORM, CLOUD_FORMATION"
EC2 instance after a SSM patch installation should have patch compliance status of COMPLIANT,MEDIUM,AWS,virtualMachine,CLOUD
Expired Route 53 domain name should be restored,MEDIUM,AWS,domain,CLOUD
DataSync Task should have logging enabled,LOW,AWS,datasync#task,CLOUD
Neptune cluster audit logs should be enabled,LOW,AWS,rds/AmazonNeptune/cluster,CLOUD
Apache Airflow Environment web server should use private access mode,MEDIUM,AWS,mwaa#environment,CLOUD
Database instance automated backups should be enabled,MEDIUM,AWS,"rds/AmazonAuroraMySQL/instance, rds/AmazonAuroraPostgreSQL/instance, rds/AmazonDocDB/instance, rds/MSSQLServer/instance, rds/MySQL/instance, rds/Cluster/MySQL/instance, rds/AmazonNeptune/instance, rds/Oracle/instance, rds/PostgreSQL/instance, rds/Cluster/PostgreSQL/instance, rds/MariaDB/instance","CLOUD, CLOUD_FORMATION, TERRAFORM"
FSx for OpenZFS file system should copy tags to backups and volumes,LOW,AWS,fsx#FileSystemOpenZFS,"CLOUD, TERRAFORM"
FSx for Windows File Server access auditing should be enabled,LOW,AWS,fsxFileSystemWindows,CLOUD
WebSocket API Gateway connect route should require authorization or API key,MEDIUM,AWS,apiGatewayv2,CLOUD
AppSync API Cache encryption at rest should be enabled,MEDIUM,AWS,appsync#apis,CLOUD
Neptune Cluster audit logs should be published to CloudWatch,LOW,AWS,rds/AmazonNeptune/cluster,"CLOUD, TERRAFORM"
ElastiCache (Memcached) cluster in-transit encryption should be enabled,MEDIUM,AWS,elastiCache/Memcached/cluster,CLOUD
RDS Aurora MySQL instance logs should be published to CloudWatch,LOW,AWS,rds/AmazonAuroraMySQL/instance,"CLOUD, TERRAFORM"
Database instance automatic minor version upgrade should be enabled,MEDIUM,AWS,"rds/AmazonAuroraMySQL/instance, rds/AmazonAuroraPostgreSQL/instance, rds/MSSQLServer/instance, rds/MySQL/instance, rds/Cluster/MySQL/instance, rds/AmazonNeptune/instance, rds/Oracle/instance, rds/PostgreSQL/instance, rds/Cluster/PostgreSQL/instance, rds/MariaDB/instance","CLOUD, TERRAFORM, CLOUD_FORMATION"
Neptune Cluster deletion protection should be enabled,MEDIUM,AWS,rds/AmazonNeptune/cluster,"CLOUD, TERRAFORM"
Neptune Cluster IAM authentication should be enabled,MEDIUM,AWS,rds/AmazonNeptune/cluster,"CLOUD, TERRAFORM"
RDS Instance Event Subscription should be configured for critical events,LOW,AWS,rds#es,CLOUD
LightSail instance should restrict RDP access (port 3389),HIGH,AWS,lightsail#Instance,CLOUD
OpenSearch (ElasticSearch) domain fine-grained access control is enabled,INFORMATIONAL,AWS,elasticSearchService,CLOUD
EC2 instance with an upcoming system reboot scheduled event,INFORMATIONAL,AWS,virtualMachine,CLOUD
Backup Plan Rule includes EBS resources,INFORMATIONAL,AWS,backup#backuprule,CLOUD
Bedrock Custom Model should be encrypted with a customer-managed key,MEDIUM,AWS,bedrock#custommodel,CLOUD
PCS Cluster Slurm configuration should be configured,MEDIUM,AWS,pcs#cluster,"CLOUD, TERRAFORM"
Database cluster automatic minor version upgrade should be enabled,MEDIUM,AWS,"rds/MySQL/cluster, clusterpg, rds/AmazonNeptune/cluster, rds/AmazonAuroraMySQL/cluster, rds/AmazonAuroraPostgreSQL/cluster, rds/MSSQLServer/cluster",CLOUD
Glue connection should use SSL,MEDIUM,AWS,glue,CLOUD
CodeBuild project build output artifacts should be encrypted,MEDIUM,AWS,codebuild#project,"CLOUD, TERRAFORM"
DocumentDB Cluster audit logs should be published to CloudWatch,LOW,AWS,rds/AmazonDocDB/cluster,"CLOUD, TERRAFORM"
Auto Scaling Group launch configuration should not have public IP addresses,HIGH,AWS,autoScalingGroup,CLOUD
S3 Bucket ACL should not allow global 'WRITE_ACP' permission,HIGH,AWS,bucket,"CLOUD, TERRAFORM"
DocumentDB Cluster automated backups should be enabled and have an adequate retention period,MEDIUM,AWS,rds/AmazonDocDB/cluster,"CLOUD, TERRAFORM"
EMR Block Public Access should be enabled in all regions,MEDIUM,AWS,region,"CLOUD, TERRAFORM"
Lambda policy should not allow all actions,MEDIUM,AWS,resourcePolicy,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Database instance copy tags to snapshots should be enabled,LOW,AWS,"rds/MSSQLServer/instance, rds/MySQL/instance, rds/Cluster/MySQL/instance, rds/Oracle/instance, rds/PostgreSQL/instance, rds/Cluster/PostgreSQL/instance, rds/MariaDB/instance","CLOUD, TERRAFORM"
RDS Oracle instance should enable SSL encryption,MEDIUM,AWS,rds/Oracle/instance,CLOUD
Backup vault event notifications should be supported,MEDIUM,AWS,backupvault,"CLOUD, TERRAFORM"
Lightsail Bucket access logging should be enabled,LOW,AWS,lightsail#Bucket,CLOUD
IAM policy should not allow overly permissive access to all traffic for SageMaker Notebook instance,HIGH,AWS,"customerManagedPolicy, inlinePolicy","CLOUD, TERRAFORM"
AppSync API Cache encryption in transit should be enabled,MEDIUM,AWS,appsync#apis,CLOUD
Backup Plan Rule includes S3 resources,INFORMATIONAL,AWS,backup#backuprule,CLOUD
RDS Cluster Event Subscription should be configured for critical events,LOW,AWS,rds#es,CLOUD
Backup Plan Rule includes RDS resources,INFORMATIONAL,AWS,backup#backuprule,CLOUD
SNS Topic policy should not contain NotAction,MEDIUM,AWS,sns,"CLOUD, TERRAFORM, CLOUD_FORMATION"
Auto Scaling Group with multiple instance types should have capacity rebalancing enabled,LOW,AWS,autoScalingGroup,"CLOUD, TERRAFORM"
RDS Security Group Event Subscription should be configured for critical events,LOW,AWS,rds#es,CLOUD
Amazon MQ broker should have 'automatic minor version upgrades' enabled,MEDIUM,AWS,mq#broker,"CLOUD, TERRAFORM"
DocumentDB audit logging should be enabled,MEDIUM,AWS,rds/AmazonDocDB/cluster,"CLOUD, TERRAFORM"
DocumentDB logs should be published to CloudWatch,MEDIUM,AWS,rds/AmazonDocDB/cluster,"CLOUD, CLOUD_FORMATION, TERRAFORM"
OpenSearch (ElasticSearch) domain should be configured with HTTPS,MEDIUM,AWS,elasticSearchService,"CLOUD, TERRAFORM, CLOUD_FORMATION, ANSIBLE"
VPC DNS resolution is enabled,INFORMATIONAL,AWS,vpc,"CLOUD, TERRAFORM"
RDS Oracle instance should enable native network encryption (NNE),MEDIUM,AWS,rds/Oracle/instance,CLOUD
OpenSearch (Elasticsearch) domain should encrypt data at rest,MEDIUM,AWS,elasticSearchService,"CLOUD, CLOUD_FORMATION, TERRAFORM"
ELBv2 does not have listeners,INFORMATIONAL,AWS,"loadBalancerv2/gateway, loadBalancerv2/network, loadBalancerv2/application",CLOUD
CodeBuild project S3 logs should be encrypted,MEDIUM,AWS,codebuild#project,"CLOUD, TERRAFORM"
DynamoDB Accelerator (DAX) cluster should have encryption in transit enabled,MEDIUM,AWS,dax#cache,"CLOUD, TERRAFORM"
DynamoDB Accelerator (DAX) cluster should have encryption at rest enabled,MEDIUM,AWS,dax#cache,"CLOUD, TERRAFORM"
Network Load Balancer should use the latest predefined security policy,MEDIUM,AWS,loadBalancerv2/network,"CLOUD, TERRAFORM"
S3 Bucket should not be publicly exposed to the internet,HIGH,AWS,bucket,"CLOUD, TERRAFORM, CLOUD_FORMATION"
LightSail instance should not allow access from all protocols and all ports,HIGH,AWS,lightsail#Instance,CLOUD
OpenSearch (ElasticSearch) domain should be set to encrypt node to node,MEDIUM,AWS,elasticSearchService,"CLOUD, TERRAFORM"
Lightsail Bucket objects should not be publicly accessible,HIGH,AWS,lightsail#Bucket,CLOUD
RDS PostgreSQL instance should use TLS version 1.2 or higher,MEDIUM,AWS,rds/PostgreSQL/instance,"CLOUD, TERRAFORM"
RDS Oracle instance logs should be published to CloudWatch,LOW,AWS,rds/Oracle/instance,"CLOUD, TERRAFORM"
LightSail instance should not allow access from all IP addresses and all ports,HIGH,AWS,lightsail#Instance,CLOUD
EKS Cluster control plane should not assign multiple security groups,MEDIUM,AWS,cluster,"CLOUD, TERRAFORM"
DB Snapshot should not be public,HIGH,AWS,"rds#clustersnapshot, rds#snapshot","CLOUD, TERRAFORM"
ECS Container password should not be in plaintext,MEDIUM,AWS,ecs#containerinstance,"CLOUD, ANSIBLE, CLOUD_FORMATION, TERRAFORM"
Kendra Index should be encrypted with a KMS-managed key,MEDIUM,AWS,kendra#index,"CLOUD, TERRAFORM"
ELBv1 does not have listeners,INFORMATIONAL,AWS,loadBalancerv1,CLOUD
Apache Airflow Environment should use the latest Airflow version supported by AWS,MEDIUM,AWS,mwaa#environment,"CLOUD, TERRAFORM"
CodeBuild project environment variables should not contain clear text credentials,HIGH,AWS,codebuild#project,"CLOUD, TERRAFORM"
FSx for Lustre file system should be configured to copy tags to backups,LOW,AWS,fsxFileSystemLustre,"CLOUD, TERRAFORM"
Network Load Balancer should not support insecure negotiation policy,MEDIUM,AWS,loadBalancerv2/network,"CLOUD, TERRAFORM"
Region with Macie enabled should have automated sensitive data discovery enabled,MEDIUM,AWS,region,CLOUD
Network Load Balancer should use TLS version 1.2 or higher,MEDIUM,AWS,loadBalancerv2/network,"CLOUD, TERRAFORM"
MSK Cluster logging should be enabled,LOW,AWS,kafka,"CLOUD, TERRAFORM, CLOUD_FORMATION"
Elasticsearch should not use the default security group,LOW,AWS,,TERRAFORM
Image Builder Distribution Configuration should encrypt AMIs with a customer managed key,MEDIUM,AWS,,TERRAFORM
CloudWatch Alarm should monitor management console authentication without MFA,HIGH,AWS,metricfilteralarm,TERRAFORM
IoT resource policy should not allow all resources,MEDIUM,AWS,,CLOUD_FORMATION
IAM Role should not allow privilege escalation by action 'iam:AddUserToGroup',MEDIUM,AWS,role,TERRAFORM
EMR cluster should encrypt the local disk,MEDIUM,AWS,ElasticMapReduce,"CLOUD, TERRAFORM"
FSx for OpenZFS should be encrypted with a customer-managed key,MEDIUM,AWS,fsx#FileSystemOpenZFS,TERRAFORM
EMR cluster encryption at rest should be enabled,MEDIUM,AWS,ElasticMapReduce,"CLOUD, TERRAFORM"
AppFlow flow should use a customer-managed key,MEDIUM,AWS,appflow#flow,TERRAFORM
Amazon Connect exported reports data storage should be encrypted,MEDIUM,AWS,connect#instance,"CLOUD, TERRAFORM"
AWS Account AI services opt-out policies is disabled or not opt-out of all current and future AI services,INFORMATIONAL,AWS,account,CLOUD
MemoryDB data should be encrypted in transit,MEDIUM,AWS,memorydb#cluster,TERRAFORM
Secret automatic rotation should be set to 90 days or less,MEDIUM,AWS,secret,"CLOUD, TERRAFORM"
Ensure Appsync API Cache is encrypted at rest,MEDIUM,AWS,,TERRAFORM
Glue data catalog encryption should be enabled,HIGH,AWS,,TERRAFORM
S3 Bucket Object should be encrypted with a customer-managed key,MEDIUM,AWS,bucket,TERRAFORM
Amazon Connect attachments should be encrypted,MEDIUM,AWS,connect#instance,CLOUD
RDS Parameter Group Event Subscription should be configured for critical events,LOW,AWS,rds#es,CLOUD
CloudWatch Log Group retention period should be at least a year,MEDIUM,AWS,logs#loggroup,TERRAFORM
Lambda Layer Version IAM policy should not be overly permissive,HIGH,AWS,lambdaLayerVersion,CLOUD
EC2 instance should not have access keys hardcoded,MEDIUM,AWS,virtualMachine,"ANSIBLE, TERRAFORM"
GuardDuty CloudTrail should be enabled,LOW,AWS,guardduty,"CLOUD, TERRAFORM"
CloudFront Without Minimum Protocol TLS 1.2,HIGH,AWS,,ANSIBLE
RDS PostgreSQL instance should be upgraded to protect against local file read vulnerability,HIGH,AWS,"rds/AmazonAuroraPostgreSQL/instance, rds/PostgreSQL/instance, rds/Cluster/PostgreSQL/instance","CLOUD, TERRAFORM"
Batch Job Definition should not have privileged container properties,HIGH,AWS,batch#jobdefinition,"CLOUD_FORMATION, ANSIBLE, TERRAFORM"
DB Security Group should not be used,MEDIUM,AWS,,TERRAFORM
CodeArtifact Domain should be using a customer-managed key,MEDIUM,AWS,,TERRAFORM
SSM Document Session should be encrypted in transit,MEDIUM,AWS,ssm#document,TERRAFORM
API Gateway method settings should not enable data trace,MEDIUM,AWS,apiGateway,TERRAFORM
IAM Role should not allow privilege escalation by action 'iam:AttachUserPolicy',MEDIUM,AWS,role,TERRAFORM
IAM Role should not allow privilege escalation by action 'glue:UpdateDevEndpoint',MEDIUM,AWS,role,TERRAFORM
VPC Endpoint Manual Acceptance should be enabled,LOW,AWS,vpcEndpoint,TERRAFORM
Glacier Vault access policy should not public accesible,MEDIUM,AWS,glacier#vaults,TERRAFORM
RDS PostgreSQL cluster should use TLS version 1.2 or higher,MEDIUM,AWS,"rds/AmazonAuroraPostgreSQL/cluster, clusterpg","CLOUD, TERRAFORM"
Classic Load Balancer SSL certificate expiring within 45 days should be renewed,LOW,AWS,loadBalancerv1,CLOUD
S3 Multi-Region Access Points should have block public access settings enabled,MEDIUM,AWS,s3MultiRegionAccessPoint,"CLOUD, TERRAFORM"
ElastiCache replication group should be encrypted with a customer-managed key,MEDIUM,AWS,elastiCache/Redis/cluster,TERRAFORM
RDS Cluster should be encrypted with a customer-managed key,MEDIUM,AWS,"rds/MSSQLServer/cluster, clusterpg, rds/AmazonAuroraMySQL/cluster, rds/AmazonAuroraPostgreSQL/cluster, rds/MySQL/cluster",TERRAFORM
AppFlow connector profile should use a customer-managed key,MEDIUM,AWS,,TERRAFORM
IAM Group should not allow privilege escalation by action 'glue:UpdateDevEndpoint',MEDIUM,AWS,group,TERRAFORM
Ensure QLDB ledger has deletion protection enabled,MEDIUM,AWS,,TERRAFORM
CloudFormation StackSet retention should be enabled,MEDIUM,AWS,,"CLOUD_FORMATION, TERRAFORM, ANSIBLE"
Authentication Without MFA,HIGH,AWS,,ANSIBLE
DocumentDB global cluster encryption at rest should be enabled,MEDIUM,AWS,,TERRAFORM
MemoryDB Snapshot should be encrypted with a customer managed Key,MEDIUM,AWS,,TERRAFORM
Region should have Macie enabled,MEDIUM,AWS,region,CLOUD
DynamoDB VPC Endpoint should be associated with a route table,MEDIUM,AWS,dynamoDB/table,TERRAFORM
DMS MongoDB endpoints authentication mechanism should be enabled,MEDIUM,AWS,dms#rep,"CLOUD, TERRAFORM"
CloudWatch Alarm should monitor network ACLs,LOW,AWS,metricfilteralarm,TERRAFORM
CloudWatch Alarm should monitor unauthorized API calls,HIGH,AWS,metricfilteralarm,TERRAFORM
Neptune Cluster Snapshot should be encrypted,MEDIUM,AWS,rds#clustersnapshot,TERRAFORM
DB Instance Storage Not Encrypted,HIGH,AWS,,ANSIBLE
MSK Cluster enhanced monitoring should be set to PER_TOPIC_PER_BROKER or PER_TOPIC_PER_PARTITION,LOW,AWS,kafka,CLOUD
RDS instance performance insights should be enabled,LOW,AWS,"rds/AmazonAuroraMySQL/instance, rds/MariaDB/instance, rds/Oracle/instance, rds/Cluster/MySQL/instance, rds/AmazonAuroraPostgreSQL/instance, rds/Cluster/PostgreSQL/instance, rds/MySQL/instance, rds/MSSQLServer/instance, rds/PostgreSQL/instance",TERRAFORM
Lightsail Database should not be publicly accessible,HIGH,AWS,lightsail#RelationalDatabase,CLOUD
IAM User should not allow privilege escalation by actions 'glue:CreateDevEndpoint' and 'iam:PassRole',MEDIUM,AWS,user,TERRAFORM
EC2 Security Group allowing access to sensitive ports from small public networks should be restricted,MEDIUM,AWS,securityGroup,TERRAFORM
IAM User should be required to reset the password,LOW,AWS,user,CLOUD_FORMATION
SQS VPC Endpoint should have a DNS resolution,MEDIUM,AWS,sqs,TERRAFORM
CloudWatch Alarm should monitor S3 buckets,MEDIUM,AWS,metricfilteralarm,TERRAFORM
DocumentDB cluster should not be encrypted with an AWS managed key,MEDIUM,AWS,rds/AmazonDocDB/cluster,TERRAFORM
GameLift Fleet EC2 inbound permissions should not have a port range,MEDIUM,AWS,,CLOUD_FORMATION
EC2 instance with an upcoming instance reboot scheduled event,INFORMATIONAL,AWS,virtualMachine,CLOUD
AWS Organization should support all features,MEDIUM,AWS,organization,"CLOUD, TERRAFORM"
Backup Plan Rule includes Storage Gateway resources,INFORMATIONAL,AWS,backup#backuprule,CLOUD
SageMaker Domain should be encrypted using a customer-managed key,MEDIUM,AWS,sagemaker#domain,TERRAFORM
IAM Group should not allow privilege escalation by actions 'cloudformation:CreateStack' and 'iam:PassRole',MEDIUM,AWS,group,TERRAFORM
CloudWatch Alarm should monitor management console authentication failures,MEDIUM,AWS,metricfilteralarm,TERRAFORM
OpenSearch (ElasticSearch) domain should not allow anonymous access,HIGH,AWS,elasticSearchService,"CLOUD, TERRAFORM"
S3 Bucket should have default encryption at rest enabled,INFORMATIONAL,AWS,bucket,CLOUD
Bedrock Agent session information should be encrypted with a CMK,MEDIUM,AWS,bedrock#agent,TERRAFORM
SES Configuration Set should enforce TLS,MEDIUM,AWS,,TERRAFORM
RDS With Backup Disabled,MEDIUM,AWS,,ANSIBLE
Lambda Function should be configured to validate code-signing,LOW,AWS,lambda,TERRAFORM
RDS Cluster audit logging should be enabled for the MySQL engine,MEDIUM,AWS,"rds/MySQL/cluster, rds/AmazonAuroraMySQL/cluster",TERRAFORM
